Class Label,Class Number,Quantity
Double Socket,6,9
Outside Tap,20,1
Low Energy Pendant Light,17,2
Ceiling Mounted Continuous Extract Fan With Boost Mode Activated By Light Switch,2,1
Cat 6 Data Socket,1,1
Low Energy Downlighter,16,13
External Wall Light,8,2
Radiator,23,6
Mains Wired Smoke Detector,18,1
Light Switch,15,6
Telephone Socket,28,1
USB Double Socket,31,4
Hob Switch,13,1
Programmable Room Thermostat,22,1
Oven Switch,21,1
Grid Switch,12,2
Recirculating Extractor Fan,24,1
Outside Socket,19,1
BT Entry Point,0,1
Total,,55
